04-18-2026 17:37:33 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,0%@729,2%@729,0%@1510,100%@1510] GR3D_FREQ 63% cpu@59.062C soc2@58.406C soc0@57.281C gpu@59.093C tj@59.093C soc1@57.968C VDD_IN 9007mW/8989mW VDD_CPU_GPU_CV 3401mW/3390mW VDD_SOC 1941mW/1926mW
04-18-2026 17:37:33 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,1%@1510,3%@729,3%@729,1%@1510,100%@1510] GR3D_FREQ 56% cpu@59.437C soc2@58.406C soc0@57.125C gpu@59.156C tj@59.437C soc1@57.937C VDD_IN 9047mW/8990mW VDD_CPU_GPU_CV 3441mW/3391mW VDD_SOC 1941mW/1926mW
04-18-2026 17:37:34 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 68% cpu@59.031C soc2@58.375C soc0@57.187C gpu@59.312C tj@59.312C soc1@58.156C VDD_IN 9126mW/8993mW VDD_CPU_GPU_CV 3441mW/3392mW VDD_SOC 1941mW/1926mW
04-18-2026 17:37:34 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [2%@1510,1%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@59.25C soc2@58.406C soc0@57.156C gpu@59.156C tj@59.156C soc1@58.125C VDD_IN 9047mW/8994mW VDD_CPU_GPU_CV 3401mW/3392mW VDD_SOC 1941mW/1926mW
04-18-2026 17:37:35 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@59.437C soc2@58.375C soc0@57.156C gpu@59.25C tj@59.437C soc1@58.062C VDD_IN 8967mW/8993mW VDD_CPU_GPU_CV 3361mW/3391mW VDD_SOC 1901mW/1926mW
04-18-2026 17:37:35 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 68% cpu@59.343C soc2@58.5C soc0@57.156C gpu@59.562C tj@59.562C soc1@58.093C VDD_IN 9047mW/8994mW VDD_CPU_GPU_CV 3441mW/3392mW VDD_SOC 1941mW/1926mW
04-18-2026 17:37:36 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,1%@729,3%@729,3%@1510,100%@1510] GR3D_FREQ 61% cpu@59.218C soc2@58.5C soc0@57.281C gpu@59.218C tj@59.218C soc1@58.031C VDD_IN 9126mW/8996mW VDD_CPU_GPU_CV 3441mW/3393mW VDD_SOC 1941mW/1926mW
04-18-2026 17:37:36 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,1%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 59% cpu@59.281C soc2@58.406C soc0@57.218C gpu@59.468C tj@59.468C soc1@57.937C VDD_IN 9086mW/8997mW VDD_CPU_GPU_CV 3480mW/3394mW VDD_SOC 1901mW/1926mW
04-18-2026 17:37:37 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,0%@729,0%@729,3%@1510,100%@1510] GR3D_FREQ 56% cpu@59.125C soc2@58.468C soc0@57.343C gpu@59.031C tj@59.125C soc1@58.062C VDD_IN 8928mW/8996mW VDD_CPU_GPU_CV 3401mW/3394mW VDD_SOC 1904mW/1926mW
04-18-2026 17:37:37 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,1%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 61% cpu@59.25C soc2@58.468C soc0@57.437C gpu@59.125C tj@59.25C soc1@57.937C VDD_IN 9047mW/8997mW VDD_CPU_GPU_CV 3441mW/3395mW VDD_SOC 1941mW/1926mW
