04-18-2026 13:21:36 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,0%@1510,2%@1510,1%@1510,66%@729,0%@729] GR3D_FREQ 73% cpu@55.531C soc2@54.937C soc0@53.75C gpu@55.25C tj@55.531C soc1@54.781C VDD_IN 6360mW/6376mW VDD_CPU_GPU_CV 1517mW/1495mW VDD_SOC 1640mW/1637mW
04-18-2026 13:21:37 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@729,0%@729,62%@729,1%@729] GR3D_FREQ 73% cpu@55.562C soc2@54.937C soc0@53.937C gpu@55.093C tj@55.562C soc1@54.843C VDD_IN 6440mW/6377mW VDD_CPU_GPU_CV 1557mW/1497mW VDD_SOC 1640mW/1637mW
04-18-2026 13:21:37 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,0%@1510,5%@729,0%@729,67%@729,0%@729] GR3D_FREQ 68% cpu@55.437C soc2@54.937C soc0@53.968C gpu@55.093C tj@55.437C soc1@54.843C VDD_IN 6360mW/6377mW VDD_CPU_GPU_CV 1517mW/1497mW VDD_SOC 1640mW/1637mW
04-18-2026 13:21:38 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,1%@729,2%@729,1%@729,66%@729,0%@729] GR3D_FREQ 60% cpu@55.406C soc2@54.875C soc0@54.062C gpu@55.375C tj@55.406C soc1@54.718C VDD_IN 6360mW/6377mW VDD_CPU_GPU_CV 1517mW/1497mW VDD_SOC 1640mW/1637mW
04-18-2026 13:21:38 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,0%@729,64%@729,0%@729] GR3D_FREQ 67% cpu@55.562C soc2@54.843C soc0@53.937C gpu@55.093C tj@55.562C soc1@54.781C VDD_IN 6360mW/6376mW VDD_CPU_GPU_CV 1517mW/1498mW VDD_SOC 1640mW/1637mW
04-18-2026 13:21:39 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [3%@1510,1%@1510,1%@1510,0%@1510,28%@729,35%@729] GR3D_FREQ 61% cpu@55.562C soc2@54.781C soc0@53.968C gpu@55.375C tj@55.375C soc1@54.718C VDD_IN 6400mW/6377mW VDD_CPU_GPU_CV 1517mW/1498mW VDD_SOC 1640mW/1637mW
04-18-2026 13:21:39 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,0%@729,3%@729,0%@729,0%@729,66%@729] GR3D_FREQ 68% cpu@55.468C soc2@54.781C soc0@53.906C gpu@55.125C tj@55.468C soc1@54.812C VDD_IN 6360mW/6377mW VDD_CPU_GPU_CV 1517mW/1498mW VDD_SOC 1640mW/1637mW
04-18-2026 13:21:40 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [1%@1510,3%@729,1%@729,3%@729,0%@729,66%@729] GR3D_FREQ 73% cpu@55.5C soc2@54.812C soc0@53.906C gpu@55.343C tj@55.5C soc1@54.75C VDD_IN 6360mW/6376mW VDD_CPU_GPU_CV 1517mW/1499mW VDD_SOC 1640mW/1637mW
04-18-2026 13:21:40 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,0%@729,0%@729,0%@729,1%@729,62%@729] GR3D_FREQ 73% cpu@55.437C soc2@54.781C soc0@53.937C gpu@55.187C tj@55.437C soc1@54.781C VDD_IN 6400mW/6377mW VDD_CPU_GPU_CV 1517mW/1499mW VDD_SOC 1640mW/1637mW
04-18-2026 13:21:41 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [2%@1510,1%@1510,5%@729,3%@729,0%@729,66%@729] GR3D_FREQ 61% cpu@55.593C soc2@54.812C soc0@53.875C gpu@55.281C tj@55.593C soc1@55.125C VDD_IN 6400mW/6377mW VDD_CPU_GPU_CV 1517mW/1499mW VDD_SOC 1640mW/1637mW
04-18-2026 13:21:41 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@729,67%@729] GR3D_FREQ 68% cpu@55.468C soc2@54.843C soc0@53.906C gpu@55.437C tj@55.468C soc1@55.062C VDD_IN 6360mW/6377mW VDD_CPU_GPU_CV 1517mW/1500mW VDD_SOC 1640mW/1638mW
04-18-2026 13:21:42 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,2%@1510,2%@729,1%@729,0%@729,66%@729] GR3D_FREQ 60% cpu@55.843C soc2@54.843C soc0@53.875C gpu@55.062C tj@55.843C soc1@55.062C VDD_IN 6400mW/6377mW VDD_CPU_GPU_CV 1517mW/1500mW VDD_SOC 1640mW/1638mW
04-18-2026 13:21:42 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,1%@729,62%@729] GR3D_FREQ 67% cpu@55.437C soc2@54.812C soc0@53.843C gpu@55.093C tj@55.437C soc1@54.968C VDD_IN 6440mW/6378mW VDD_CPU_GPU_CV 1517mW/1500mW VDD_SOC 1640mW/1638mW
04-18-2026 13:21:43 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,0%@729,3%@729,0%@729,0%@729,67%@729] GR3D_FREQ 61% cpu@55.625C soc2@54.937C soc0@53.781C gpu@55.187C tj@55.625C soc1@54.843C VDD_IN 6360mW/6378mW VDD_CPU_GPU_CV 1477mW/1500mW VDD_SOC 1640mW/1638mW
04-18-2026 13:21:43 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [1%@1510,0%@1510,3%@1510,0%@1510,0%@729,68%@729] GR3D_FREQ 68% cpu@55.718C soc2@54.937C soc0@53.843C gpu@55.125C tj@55.718C soc1@54.906C VDD_IN 6360mW/6378mW VDD_CPU_GPU_CV 1517mW/1500mW VDD_SOC 1640mW/1638mW
04-18-2026 13:21:44 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [16%@1510,3%@1510,3%@729,1%@729,0%@729,49%@729] GR3D_FREQ 68% cpu@55.5C soc2@55C soc0@53.75C gpu@55.25C tj@55.843C soc1@54.937C VDD_IN 6400mW/6378mW VDD_CPU_GPU_CV 1517mW/1500mW VDD_SOC 1640mW/1638mW
04-18-2026 13:21:44 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [66%@1510,1%@1510,3%@1510,3%@1510,1%@729,0%@729] GR3D_FREQ 60% cpu@55.562C soc2@55.031C soc0@53.812C gpu@55.375C tj@55.562C soc1@54.906C VDD_IN 6400mW/6378mW VDD_CPU_GPU_CV 1517mW/1501mW VDD_SOC 1640mW/1638mW
04-18-2026 13:21:45 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [67%@1510,1%@1510,0%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 68% cpu@55.468C soc2@55C soc0@53.843C gpu@55.562C tj@55.562C soc1@54.843C VDD_IN 6360mW/6378mW VDD_CPU_GPU_CV 1477mW/1500mW VDD_SOC 1640mW/1638mW
04-18-2026 13:21:45 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [25%@1510,0%@1510,1%@1510,1%@1510,42%@729,0%@729] GR3D_FREQ 60% cpu@55.531C soc2@54.875C soc0@54C gpu@55.312C tj@55.531C soc1@54.781C VDD_IN 6360mW/6378mW VDD_CPU_GPU_CV 1477mW/1500mW VDD_SOC 1640mW/1638mW
