04-18-2026 16:54:18 RAM 5375/7620MB (lfb 11x4MB) SWAP 2601/3810MB (cached 17MB) CPU [3%@1510,3%@1510,0%@1510,0%@1510,0%@806,69%@729] GR3D_FREQ 61% cpu@57.218C soc2@56.562C soc0@55.375C gpu@57.437C tj@57.437C soc1@56.343C VDD_IN 8001mW/7894mW VDD_CPU_GPU_CV 2698mW/2614mW VDD_SOC 1791mW/1784mW
04-18-2026 16:54:18 RAM 5375/7620MB (lfb 11x4MB) SWAP 2601/3810MB (cached 17MB) CPU [0%@1510,2%@1510,0%@1510,0%@1510,0%@806,70%@806] GR3D_FREQ 72% cpu@57.218C soc2@56.562C soc0@55.531C gpu@57.531C tj@57.531C soc1@56.312C VDD_IN 7961mW/7895mW VDD_CPU_GPU_CV 2658mW/2614mW VDD_SOC 1791mW/1784mW
04-18-2026 16:54:19 RAM 5375/7620MB (lfb 11x4MB) SWAP 2601/3810MB (cached 17MB) CPU [1%@1510,0%@1510,3%@1510,0%@1510,0%@806,70%@806] GR3D_FREQ 76% cpu@57.125C soc2@56.562C soc0@55.625C gpu@57.343C tj@57.343C soc1@56.312C VDD_IN 7961mW/7897mW VDD_CPU_GPU_CV 2698mW/2616mW VDD_SOC 1791mW/1784mW
04-18-2026 16:54:19 RAM 5375/7620MB (lfb 11x4MB) SWAP 2601/3810MB (cached 17MB) CPU [2%@1510,1%@1510,1%@1510,2%@1510,3%@806,70%@806] GR3D_FREQ 78% cpu@57.187C soc2@56.562C soc0@55.531C gpu@57.562C tj@57.562C soc1@56.187C VDD_IN 8001mW/7898mW VDD_CPU_GPU_CV 2698mW/2617mW VDD_SOC 1788mW/1784mW
04-18-2026 16:54:20 RAM 5375/7620MB (lfb 11x4MB) SWAP 2601/3810MB (cached 17MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@806,70%@806] GR3D_FREQ 78% cpu@56.968C soc2@56.531C soc0@55.531C gpu@57.187C tj@57.187C soc1@56.25C VDD_IN 7921mW/7899mW VDD_CPU_GPU_CV 2658mW/2618mW VDD_SOC 1791mW/1784mW
04-18-2026 16:54:20 RAM 5375/7620MB (lfb 11x4MB) SWAP 2601/3810MB (cached 17MB) CPU [1%@1510,3%@1510,0%@1510,0%@1510,2%@806,70%@806] GR3D_FREQ 77% cpu@57.343C soc2@56.531C soc0@55.5C gpu@57.531C tj@57.531C soc1@56.5C VDD_IN 7961mW/7900mW VDD_CPU_GPU_CV 2698mW/2619mW VDD_SOC 1791mW/1784mW
04-18-2026 16:54:21 RAM 5375/7620MB (lfb 11x4MB) SWAP 2601/3810MB (cached 17MB) CPU [3%@1510,0%@1510,0%@1510,1%@1510,0%@729,70%@729] GR3D_FREQ 55% cpu@57.312C soc2@56.5C soc0@55.5C gpu@57.062C tj@57.312C soc1@56.5C VDD_IN 7961mW/7901mW VDD_CPU_GPU_CV 2658mW/2620mW VDD_SOC 1791mW/1784mW
04-18-2026 16:54:21 RAM 5375/7620MB (lfb 11x4MB) SWAP 2601/3810MB (cached 17MB) CPU [2%@1510,0%@1510,1%@1510,0%@1510,0%@806,71%@806] GR3D_FREQ 77% cpu@57.093C soc2@56.562C soc0@55.437C gpu@57.156C tj@57.156C soc1@56.406C VDD_IN 7961mW/7902mW VDD_CPU_GPU_CV 2698mW/2621mW VDD_SOC 1791mW/1784mW
04-18-2026 16:54:22 RAM 5375/7620MB (lfb 11x4MB) SWAP 2601/3810MB (cached 17MB) CPU [5%@1510,3%@1510,1%@1510,0%@1510,0%@806,70%@806] GR3D_FREQ 77% cpu@57.281C soc2@56.562C soc0@55.375C gpu@57.031C tj@57.281C soc1@56.406C VDD_IN 7961mW/7903mW VDD_CPU_GPU_CV 2658mW/2622mW VDD_SOC 1791mW/1785mW
04-18-2026 16:54:22 RAM 5375/7620MB (lfb 11x4MB) SWAP 2601/3810MB (cached 17MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,0%@806,70%@806] GR3D_FREQ 71% cpu@57.312C soc2@56.562C soc0@55.437C gpu@57.187C tj@57.312C soc1@56.375C VDD_IN 7961mW/7904mW VDD_CPU_GPU_CV 2658mW/2622mW VDD_SOC 1791mW/1785mW
