04-18-2026 23:16:20 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,52%@729,0%@729] GR3D_FREQ 70% cpu@55.218C soc2@54.843C soc0@53.781C gpu@55.781C tj@55.781C soc1@54.25C VDD_IN 9388mW/9156mW VDD_CPU_GPU_CV 3553mW/3420mW VDD_SOC 1980mW/1951mW
04-18-2026 23:16:20 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,0%@729,1%@729,0%@729,54%@729,4%@729] GR3D_FREQ 72% cpu@55.281C soc2@54.781C soc0@53.718C gpu@55.937C tj@55.937C soc1@54.343C VDD_IN 9245mW/9158mW VDD_CPU_GPU_CV 3441mW/3420mW VDD_SOC 1980mW/1951mW
04-18-2026 23:16:21 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [2%@1510,0%@1510,1%@729,3%@729,55%@729,3%@729] GR3D_FREQ 58% cpu@55.156C soc2@54.812C soc0@53.687C gpu@55.562C tj@55.562C soc1@54.343C VDD_IN 9245mW/9159mW VDD_CPU_GPU_CV 3441mW/3421mW VDD_SOC 1941mW/1951mW
04-18-2026 23:16:21 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@729,0%@729,54%@729,0%@729] GR3D_FREQ 56% cpu@55.281C soc2@54.781C soc0@53.718C gpu@56.031C tj@56.031C soc1@54.312C VDD_IN 9205mW/9160mW VDD_CPU_GPU_CV 3441mW/3421mW VDD_SOC 1941mW/1951mW
04-18-2026 23:16:22 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [3%@1510,0%@1510,1%@729,1%@729,57%@729,1%@729] GR3D_FREQ 97% cpu@55.656C soc2@54.843C soc0@53.656C gpu@56.156C tj@56.156C soc1@54.656C VDD_IN 9126mW/9159mW VDD_CPU_GPU_CV 3401mW/3421mW VDD_SOC 1941mW/1951mW
04-18-2026 23:16:22 RAM 6070/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@729,0%@729,0%@729,54%@729,0%@729] GR3D_FREQ 98% cpu@55.281C soc2@54.843C soc0@53.687C gpu@55.687C tj@55.687C soc1@54.5C VDD_IN 9205mW/9160mW VDD_CPU_GPU_CV 3441mW/3421mW VDD_SOC 1980mW/1951mW
04-18-2026 23:16:23 RAM 6070/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,1%@1510,1%@729,0%@729,50%@729,0%@729] GR3D_FREQ 70% cpu@55.375C soc2@54.875C soc0@53.625C gpu@55.781C tj@55.781C soc1@54.406C VDD_IN 9404mW/9164mW VDD_CPU_GPU_CV 3553mW/3423mW VDD_SOC 1980mW/1952mW
04-18-2026 23:16:23 RAM 6070/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,3%@1510,1%@729,3%@729,53%@729,0%@729] GR3D_FREQ 98% cpu@55.343C soc2@54.906C soc0@53.875C gpu@55.843C tj@55.843C soc1@54.406C VDD_IN 9285mW/9166mW VDD_CPU_GPU_CV 3480mW/3424mW VDD_SOC 1980mW/1952mW
04-18-2026 23:16:24 RAM 6070/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,54%@729,0%@729] GR3D_FREQ 87% cpu@55.343C soc2@54.906C soc0@53.875C gpu@55.812C tj@55.812C soc1@54.375C VDD_IN 9245mW/9167mW VDD_CPU_GPU_CV 3480mW/3425mW VDD_SOC 1980mW/1952mW
04-18-2026 23:16:24 RAM 6070/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [3%@1510,0%@1510,1%@729,1%@729,54%@729,0%@729] GR3D_FREQ 59% cpu@55.218C soc2@54.812C soc0@53.687C gpu@55.843C tj@55.843C soc1@54.437C VDD_IN 9205mW/9168mW VDD_CPU_GPU_CV 3441mW/3425mW VDD_SOC 1941mW/1952mW
