04-18-2026 16:42:01 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [3%@1510,1%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 87% cpu@59.75C soc2@59.218C soc0@57.968C gpu@60.031C tj@60.031C soc1@58.562C VDD_IN 9888mW/9860mW VDD_CPU_GPU_CV 4100mW/4069mW VDD_SOC 2017mW/2000mW
04-18-2026 16:42:02 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [1%@1510,1%@729,1%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@59.718C soc2@59.187C soc0@57.968C gpu@60.156C tj@60.156C soc1@58.5C VDD_IN 9967mW/9863mW VDD_CPU_GPU_CV 4139mW/4070mW VDD_SOC 2013mW/2000mW
04-18-2026 16:42:02 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 95% cpu@59.812C soc2@59.156C soc0@58C gpu@60.343C tj@60.343C soc1@58.437C VDD_IN 9927mW/9864mW VDD_CPU_GPU_CV 4139mW/4072mW VDD_SOC 1974mW/2000mW
04-18-2026 16:42:03 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 69% cpu@59.75C soc2@59.156C soc0@57.968C gpu@59.968C tj@59.968C soc1@58.5C VDD_IN 10006mW/9867mW VDD_CPU_GPU_CV 4139mW/4073mW VDD_SOC 2013mW/2000mW
04-18-2026 16:42:03 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [3%@1510,0%@729,5%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 65% cpu@59.812C soc2@59.125C soc0@57.937C gpu@60C tj@60C soc1@58.468C VDD_IN 10006mW/9869mW VDD_CPU_GPU_CV 4139mW/4074mW VDD_SOC 2013mW/2000mW
04-18-2026 16:42:04 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [0%@1510,1%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 98% cpu@59.781C soc2@59.25C soc0@57.937C gpu@60.125C tj@60.125C soc1@58.437C VDD_IN 9967mW/9871mW VDD_CPU_GPU_CV 4139mW/4075mW VDD_SOC 2013mW/2001mW
04-18-2026 16:42:04 RAM 5176/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [0%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 71% cpu@60.125C soc2@59.218C soc0@57.968C gpu@60.031C tj@60.125C soc1@58.843C VDD_IN 9967mW/9873mW VDD_CPU_GPU_CV 4139mW/4077mW VDD_SOC 2013mW/2001mW
04-18-2026 16:42:05 RAM 5176/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [3%@1510,3%@1510,3%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 59% cpu@59.718C soc2@59.125C soc0@57.843C gpu@60.125C tj@60.125C soc1@58.781C VDD_IN 9967mW/9874mW VDD_CPU_GPU_CV 4178mW/4078mW VDD_SOC 1974mW/2000mW
04-18-2026 16:42:05 RAM 5176/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [0%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 98% cpu@59.812C soc2@59.156C soc0@57.968C gpu@60.281C tj@60.281C soc1@58.718C VDD_IN 9927mW/9875mW VDD_CPU_GPU_CV 4139mW/4079mW VDD_SOC 2013mW/2001mW
04-18-2026 16:42:06 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [0%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 98% cpu@59.968C soc2@59.125C soc0@57.875C gpu@59.937C tj@59.968C soc1@58.718C VDD_IN 10006mW/9878mW VDD_CPU_GPU_CV 4139mW/4080mW VDD_SOC 2013mW/2001mW
