04-18-2026 12:44:47 RAM 4171/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 63% cpu@59.312C soc2@58.5C soc0@57.125C gpu@59.125C tj@59.125C soc1@58.093C VDD_IN 9245mW/9209mW VDD_CPU_GPU_CV 3520mW/3484mW VDD_SOC 1980mW/1975mW
04-18-2026 12:44:48 RAM 4171/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 96% cpu@59.312C soc2@58.531C soc0@57.125C gpu@59.25C tj@59.312C soc1@58.031C VDD_IN 9324mW/9212mW VDD_CPU_GPU_CV 3553mW/3486mW VDD_SOC 1980mW/1975mW
04-18-2026 12:44:48 RAM 4171/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 31% cpu@59.5C soc2@58.5C soc0@57.25C gpu@59.25C tj@59.5C soc1@58.125C VDD_IN 9245mW/9213mW VDD_CPU_GPU_CV 3520mW/3486mW VDD_SOC 1980mW/1975mW
04-18-2026 12:44:49 RAM 4171/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 66% cpu@59.218C soc2@58.5C soc0@57.125C gpu@59.406C tj@59.406C soc1@58.093C VDD_IN 9166mW/9212mW VDD_CPU_GPU_CV 3480mW/3486mW VDD_SOC 1980mW/1975mW
04-18-2026 12:44:49 RAM 4171/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 70% cpu@59.281C soc2@58.5C soc0@57.125C gpu@59.125C tj@59.281C soc1@58.125C VDD_IN 9270mW/9213mW VDD_CPU_GPU_CV 3514mW/3487mW VDD_SOC 1980mW/1975mW
04-18-2026 12:44:50 RAM 4171/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@729,2%@729,0%@1510,100%@1510] GR3D_FREQ 48% cpu@59.312C soc2@58.625C soc0@57.187C gpu@59.062C tj@59.312C soc1@58.031C VDD_IN 9245mW/9213mW VDD_CPU_GPU_CV 3514mW/3487mW VDD_SOC 1980mW/1975mW
04-18-2026 12:44:50 RAM 4171/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 57% cpu@59.125C soc2@58.5C soc0@57.156C gpu@59.375C tj@59.375C soc1@57.968C VDD_IN 9285mW/9215mW VDD_CPU_GPU_CV 3514mW/3488mW VDD_SOC 1980mW/1975mW
04-18-2026 12:44:51 RAM 4171/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@729,0%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 85% cpu@59.218C soc2@58.562C soc0@57.156C gpu@59.343C tj@59.343C soc1@58C VDD_IN 9285mW/9216mW VDD_CPU_GPU_CV 3553mW/3489mW VDD_SOC 1980mW/1975mW
04-18-2026 12:44:51 RAM 4172/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,1%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 61% cpu@59.25C soc2@58.625C soc0@57.406C gpu@59.187C tj@59.25C soc1@58C VDD_IN 9245mW/9217mW VDD_CPU_GPU_CV 3520mW/3490mW VDD_SOC 1980mW/1975mW
04-18-2026 12:44:52 RAM 4170/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,2%@902,4%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 76% cpu@59.125C soc2@58.562C soc0@57.125C gpu@59.468C tj@59.468C soc1@58.031C VDD_IN 9349mW/9219mW VDD_CPU_GPU_CV 3593mW/3491mW VDD_SOC 1980mW/1975mW
04-18-2026 12:44:52 RAM 4169/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 54% cpu@59.187C soc2@58.562C soc0@57.25C gpu@59.5C tj@59.5C soc1@58C VDD_IN 9245mW/9219mW VDD_CPU_GPU_CV 3514mW/3492mW VDD_SOC 1980mW/1976mW
04-18-2026 12:44:53 RAM 4171/7620MB (lfb 27x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@729,2%@729,3%@729,1%@1510,100%@1510] GR3D_FREQ 64% cpu@59.25C soc2@58.5C soc0@57.406C gpu@59.156C tj@59.25C soc1@58C VDD_IN 9270mW/9220mW VDD_CPU_GPU_CV 3553mW/3493mW VDD_SOC 1980mW/1976mW
04-18-2026 12:44:53 RAM 4171/7620MB (lfb 27x4MB) SWAP 281/3810MB (cached 0MB) CPU [9%@1510,3%@910,7%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 71% cpu@59.156C soc2@58.5C soc0@57.375C gpu@59.281C tj@59.281C soc1@58.062C VDD_IN 9309mW/9222mW VDD_CPU_GPU_CV 3553mW/3494mW VDD_SOC 1980mW/1976mW
04-18-2026 12:44:54 RAM 4170/7620MB (lfb 27x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 41% cpu@59.218C soc2@58.562C soc0@57.375C gpu@59.281C tj@59.281C soc1@58C VDD_IN 9230mW/9222mW VDD_CPU_GPU_CV 3514mW/3494mW VDD_SOC 1980mW/1976mW
04-18-2026 12:44:54 RAM 4170/7620MB (lfb 27x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 54% cpu@59.218C soc2@58.5C soc0@57.406C gpu@59.468C tj@59.468C soc1@58C VDD_IN 9349mW/9224mW VDD_CPU_GPU_CV 3593mW/3496mW VDD_SOC 1980mW/1976mW
04-18-2026 12:44:55 RAM 4170/7620MB (lfb 27x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@729,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 34% cpu@59.093C soc2@58.531C soc0@57.375C gpu@59C tj@59.093C soc1@57.968C VDD_IN 9285mW/9225mW VDD_CPU_GPU_CV 3514mW/3496mW VDD_SOC 1980mW/1976mW
04-18-2026 12:44:55 RAM 4170/7620MB (lfb 27x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 62% cpu@59.156C soc2@58.593C soc0@57.437C gpu@59.312C tj@59.156C soc1@57.937C VDD_IN 9205mW/9225mW VDD_CPU_GPU_CV 3480mW/3496mW VDD_SOC 1980mW/1976mW
04-18-2026 12:44:56 RAM 4172/7620MB (lfb 27x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,5%@1510,2%@1510,0%@1510,100%@1510] GR3D_FREQ 67% cpu@59.562C soc2@58.625C soc0@57.343C gpu@59.656C tj@59.656C soc1@58.031C VDD_IN 9324mW/9226mW VDD_CPU_GPU_CV 3553mW/3497mW VDD_SOC 1980mW/1976mW
04-18-2026 12:44:56 RAM 4169/7620MB (lfb 27x4MB) SWAP 281/3810MB (cached 0MB) CPU [7%@1510,1%@1510,2%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 85% cpu@59.187C soc2@58.625C soc0@57.281C gpu@59.218C tj@59.218C soc1@58.218C VDD_IN 9270mW/9227mW VDD_CPU_GPU_CV 3559mW/3498mW VDD_SOC 1980mW/1976mW
04-18-2026 12:44:57 RAM 4168/7620MB (lfb 27x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 59% cpu@59.187C soc2@58.5C soc0@57.281C gpu@59.156C tj@59.187C soc1@58.187C VDD_IN 9230mW/9227mW VDD_CPU_GPU_CV 3514mW/3498mW VDD_SOC 1980mW/1976mW
04-18-2026 12:44:57 RAM 4169/7620MB (lfb 27x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 98% cpu@59.468C soc2@58.5C soc0@57.25C gpu@59.468C tj@59.468C soc1@58.218C VDD_IN 9349mW/9229mW VDD_CPU_GPU_CV 3553mW/3499mW VDD_SOC 1980mW/1976mW
04-18-2026 12:44:58 RAM 4169/7620MB (lfb 27x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 32% cpu@59.562C soc2@58.593C soc0@57.25C gpu@59.468C tj@59.562C soc1@58.156C VDD_IN 9270mW/9229mW VDD_CPU_GPU_CV 3514mW/3499mW VDD_SOC 1980mW/1976mW
