04-18-2026 15:26:57 RAM 4895/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,100%@1510,0%@1510] GR3D_FREQ 88% cpu@58.625C soc2@58.125C soc0@56.656C gpu@58.781C tj@58.781C soc1@57.468C VDD_IN 9587mW/9481mW VDD_CPU_GPU_CV 3632mW/3622mW VDD_SOC 2017mW/2012mW
04-18-2026 15:26:58 RAM 4895/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [3%@1510,0%@1510,1%@1510,1%@1510,100%@1510,0%@1510] GR3D_FREQ 52% cpu@58.625C soc2@58.062C soc0@56.812C gpu@58.875C tj@58.875C soc1@57.437C VDD_IN 9468mW/9480mW VDD_CPU_GPU_CV 3632mW/3623mW VDD_SOC 2017mW/2012mW
04-18-2026 15:26:58 RAM 4895/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [1%@1510,3%@1510,0%@729,1%@729,100%@1510,1%@1510] GR3D_FREQ 70% cpu@58.687C soc2@57.937C soc0@56.875C gpu@59.031C tj@59.031C soc1@57.562C VDD_IN 9547mW/9482mW VDD_CPU_GPU_CV 3672mW/3624mW VDD_SOC 2017mW/2012mW
04-18-2026 15:26:59 RAM 4895/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,100%@1510,0%@1510] GR3D_FREQ 62% cpu@58.656C soc2@58.062C soc0@56.812C gpu@58.906C tj@58.906C soc1@57.468C VDD_IN 9507mW/9482mW VDD_CPU_GPU_CV 3632mW/3624mW VDD_SOC 2017mW/2013mW
04-18-2026 15:26:59 RAM 4895/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,1%@729,1%@729,0%@729,100%@1510,1%@1510] GR3D_FREQ 65% cpu@58.687C soc2@58C soc0@56.843C gpu@59.062C tj@59.062C soc1@57.437C VDD_IN 9547mW/9483mW VDD_CPU_GPU_CV 3632mW/3624mW VDD_SOC 2017mW/2013mW
04-18-2026 15:27:00 RAM 4895/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,0%@1510,0%@729,1%@729,100%@1510,1%@1510] GR3D_FREQ 74% cpu@58.687C soc2@58.093C soc0@56.875C gpu@58.718C tj@58.718C soc1@57.468C VDD_IN 9626mW/9486mW VDD_CPU_GPU_CV 3672mW/3625mW VDD_SOC 2017mW/2013mW
04-18-2026 15:27:01 RAM 4895/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,0%@1510,3%@1510,0%@1510,100%@1510,0%@1510] GR3D_FREQ 61% cpu@58.718C soc2@58.093C soc0@56.718C gpu@58.843C tj@58.843C soc1@57.718C VDD_IN 9547mW/9487mW VDD_CPU_GPU_CV 3672mW/3626mW VDD_SOC 2017mW/2013mW
04-18-2026 15:27:01 RAM 4895/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,100%@1510,5%@1510] GR3D_FREQ 61% cpu@58.968C soc2@58.031C soc0@56.718C gpu@58.687C tj@58.968C soc1@57.656C VDD_IN 9468mW/9487mW VDD_CPU_GPU_CV 3672mW/3626mW VDD_SOC 2020mW/2013mW
04-18-2026 15:27:02 RAM 4895/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,1%@1510,2%@1510,0%@1510,100%@1510,0%@1510] GR3D_FREQ 98% cpu@59.062C soc2@58.031C soc0@56.687C gpu@58.781C tj@59.062C soc1@57.656C VDD_IN 9547mW/9488mW VDD_CPU_GPU_CV 3672mW/3627mW VDD_SOC 2017mW/2013mW
04-18-2026 15:27:02 RAM 4895/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [1%@1510,0%@729,0%@729,1%@729,100%@1510,0%@1510] GR3D_FREQ 54% cpu@58.687C soc2@58.031C soc0@56.781C gpu@58.906C tj@58.906C soc1@57.656C VDD_IN 9507mW/9488mW VDD_CPU_GPU_CV 3632mW/3627mW VDD_SOC 2017mW/2013mW
