04-18-2026 13:51:42 RAM 5640/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [0%@1510,3%@1510,0%@1510,2%@1510,0%@729,55%@729] GR3D_FREQ 99% cpu@60.687C soc2@60.375C soc0@59.031C gpu@61.468C tj@61.468C soc1@59.5C VDD_IN 10723mW/10754mW VDD_CPU_GPU_CV 4126mW/4128mW VDD_SOC 2326mW/2312mW
04-18-2026 13:51:43 RAM 5640/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [2%@1510,0%@729,0%@729,3%@729,1%@1267,58%@1267] GR3D_FREQ 95% cpu@60.656C soc2@60.406C soc0@59.093C gpu@61.156C tj@61.156C soc1@59.656C VDD_IN 10762mW/10754mW VDD_CPU_GPU_CV 4126mW/4128mW VDD_SOC 2326mW/2312mW
04-18-2026 13:51:43 RAM 5640/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [1%@1510,1%@1510,0%@729,0%@729,1%@1267,53%@1267] GR3D_FREQ 97% cpu@60.75C soc2@60.375C soc0@59.093C gpu@61.218C tj@61.218C soc1@59.562C VDD_IN 10841mW/10756mW VDD_CPU_GPU_CV 4165mW/4129mW VDD_SOC 2322mW/2313mW
04-18-2026 13:51:44 RAM 5640/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [2%@1510,0%@1510,3%@1510,0%@1510,1%@1267,50%@1267] GR3D_FREQ 84% cpu@60.656C soc2@60.375C soc0@59C gpu@61.281C tj@61.281C soc1@59.593C VDD_IN 10802mW/10757mW VDD_CPU_GPU_CV 4165mW/4130mW VDD_SOC 2322mW/2313mW
04-18-2026 13:51:44 RAM 5640/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [1%@1510,1%@1510,1%@1510,0%@1510,1%@883,54%@883] GR3D_FREQ 99% cpu@60.656C soc2@60.312C soc0@59.125C gpu@61.218C tj@61.218C soc1@59.531C VDD_IN 10802mW/10758mW VDD_CPU_GPU_CV 4204mW/4131mW VDD_SOC 2322mW/2313mW
04-18-2026 13:51:45 RAM 5641/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [2%@1228,0%@1510,1%@1510,5%@1510,0%@1036,54%@1036] GR3D_FREQ 99% cpu@60.75C soc2@60.312C soc0@59.062C gpu@61.406C tj@61.406C soc1@59.593C VDD_IN 10841mW/10759mW VDD_CPU_GPU_CV 4204mW/4132mW VDD_SOC 2322mW/2313mW
04-18-2026 13:51:45 RAM 5641/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,0%@1267,54%@1267] GR3D_FREQ 97% cpu@61.125C soc2@60.343C soc0@59.093C gpu@61.406C tj@61.406C soc1@59.812C VDD_IN 10841mW/10761mW VDD_CPU_GPU_CV 4204mW/4134mW VDD_SOC 2322mW/2313mW
04-18-2026 13:51:46 RAM 5641/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [2%@1510,2%@1510,0%@1510,1%@1510,0%@1267,51%@1267] GR3D_FREQ 74% cpu@60.875C soc2@60.343C soc0@59.093C gpu@61.218C tj@61.218C soc1@59.812C VDD_IN 10802mW/10762mW VDD_CPU_GPU_CV 4204mW/4135mW VDD_SOC 2322mW/2313mW
04-18-2026 13:51:46 RAM 5641/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,0%@729,52%@729] GR3D_FREQ 99% cpu@60.843C soc2@60.312C soc0@59C gpu@61.437C tj@61.437C soc1@59.718C VDD_IN 10841mW/10763mW VDD_CPU_GPU_CV 4204mW/4136mW VDD_SOC 2322mW/2313mW
04-18-2026 13:51:47 RAM 5641/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [2%@1510,0%@1510,0%@1510,0%@1510,0%@960,56%@960] GR3D_FREQ 99% cpu@60.781C soc2@60.437C soc0@58.937C gpu@61.656C tj@61.656C soc1@59.656C VDD_IN 10841mW/10764mW VDD_CPU_GPU_CV 4197mW/4137mW VDD_SOC 2322mW/2314mW
