04-18-2026 17:35:05 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [1%@1510,1%@1510,3%@1510,1%@1510,60%@729,0%@729] GR3D_FREQ 73% cpu@59.343C soc2@58.593C soc0@57.375C gpu@59.375C tj@59.375C soc1@58.093C VDD_IN 9126mW/9180mW VDD_CPU_GPU_CV 3164mW/3215mW VDD_SOC 2060mW/2060mW
04-18-2026 17:35:05 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,1%@1510,0%@729,0%@729,60%@729,0%@729] GR3D_FREQ 60% cpu@59.156C soc2@58.562C soc0@57.375C gpu@59.531C tj@59.531C soc1@58.031C VDD_IN 9086mW/9179mW VDD_CPU_GPU_CV 3164mW/3214mW VDD_SOC 2060mW/2060mW
04-18-2026 17:35:06 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,0%@1510,0%@1510,1%@729,56%@729,0%@729] GR3D_FREQ 69% cpu@59C soc2@58.687C soc0@57.406C gpu@59.718C tj@59.718C soc1@58.093C VDD_IN 9309mW/9181mW VDD_CPU_GPU_CV 3277mW/3215mW VDD_SOC 2099mW/2061mW
04-18-2026 17:35:06 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,1%@1510,5%@1510,1%@1510,56%@729,0%@729] GR3D_FREQ 98% cpu@58.875C soc2@58.75C soc0@57.468C gpu@59.5C tj@59.5C soc1@58.125C VDD_IN 9388mW/9184mW VDD_CPU_GPU_CV 3356mW/3218mW VDD_SOC 2099mW/2061mW
04-18-2026 17:35:07 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [5%@1510,1%@1510,5%@729,0%@729,37%@729,23%@729] GR3D_FREQ 85% cpu@59.031C soc2@58.531C soc0@57.468C gpu@59.687C tj@59.687C soc1@58.031C VDD_IN 9270mW/9186mW VDD_CPU_GPU_CV 3277mW/3219mW VDD_SOC 2060mW/2061mW
04-18-2026 17:35:07 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,0%@1510,1%@729,3%@729,1%@729,60%@729] GR3D_FREQ 74% cpu@59.031C soc2@58.656C soc0@57.468C gpu@59.187C tj@59.187C soc1@58.062C VDD_IN 9166mW/9185mW VDD_CPU_GPU_CV 3203mW/3218mW VDD_SOC 2060mW/2061mW
04-18-2026 17:35:08 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [1%@1510,0%@1510,1%@729,1%@729,0%@729,60%@729] GR3D_FREQ 59% cpu@58.906C soc2@58.625C soc0@57.437C gpu@59.437C tj@59.437C soc1@58.062C VDD_IN 9126mW/9184mW VDD_CPU_GPU_CV 3203mW/3218mW VDD_SOC 2060mW/2061mW
04-18-2026 17:35:08 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,0%@729,0%@729,0%@729,0%@729,60%@729] GR3D_FREQ 56% cpu@59.062C soc2@58.562C soc0@57.5C gpu@59.468C tj@59.468C soc1@58C VDD_IN 9126mW/9183mW VDD_CPU_GPU_CV 3164mW/3217mW VDD_SOC 2060mW/2061mW
04-18-2026 17:35:09 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [1%@1510,1%@1510,5%@729,0%@729,0%@729,56%@729] GR3D_FREQ 70% cpu@59.093C soc2@58.656C soc0@57.468C gpu@59.687C tj@59.687C soc1@58.031C VDD_IN 9349mW/9186mW VDD_CPU_GPU_CV 3316mW/3219mW VDD_SOC 2060mW/2061mW
04-18-2026 17:35:09 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [1%@1510,0%@1510,1%@729,1%@729,1%@729,56%@729] GR3D_FREQ 70% cpu@59.062C soc2@58.656C soc0@57.437C gpu@59.312C tj@59.312C soc1@58.125C VDD_IN 9428mW/9190mW VDD_CPU_GPU_CV 3356mW/3221mW VDD_SOC 2096mW/2062mW
