04-18-2026 17:31:45 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [1%@1510,1%@1510,0%@1510,1%@1510,1%@729,55%@729] GR3D_FREQ 81% cpu@58.093C soc2@57.687C soc0@56.468C gpu@58.281C tj@58.281C soc1@57.093C VDD_IN 9349mW/9143mW VDD_CPU_GPU_CV 3316mW/3196mW VDD_SOC 2060mW/2042mW
04-18-2026 17:31:46 RAM 5836/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [2%@1510,0%@1510,3%@1510,1%@1510,0%@729,58%@729] GR3D_FREQ 98% cpu@58.062C soc2@57.593C soc0@56.468C gpu@58.343C tj@58.343C soc1@57.093C VDD_IN 9270mW/9146mW VDD_CPU_GPU_CV 3277mW/3198mW VDD_SOC 2060mW/2043mW
04-18-2026 17:31:46 RAM 5836/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [0%@1510,1%@1510,1%@729,0%@729,0%@729,61%@729] GR3D_FREQ 97% cpu@58C soc2@57.625C soc0@56.5C gpu@58.406C tj@58.406C soc1@57.156C VDD_IN 9166mW/9146mW VDD_CPU_GPU_CV 3203mW/3198mW VDD_SOC 2060mW/2043mW
04-18-2026 17:31:47 RAM 5836/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [5%@1510,1%@1510,1%@729,1%@729,0%@729,59%@729] GR3D_FREQ 90% cpu@57.968C soc2@57.562C soc0@56.5C gpu@58.625C tj@58.625C soc1@57.093C VDD_IN 9126mW/9146mW VDD_CPU_GPU_CV 3203mW/3198mW VDD_SOC 2060mW/2043mW
04-18-2026 17:31:47 RAM 5836/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [1%@1510,0%@1510,1%@729,0%@729,0%@729,62%@729] GR3D_FREQ 85% cpu@58.031C soc2@57.625C soc0@56.5C gpu@58.687C tj@58.687C soc1@57.125C VDD_IN 9086mW/9144mW VDD_CPU_GPU_CV 3164mW/3197mW VDD_SOC 2020mW/2043mW
04-18-2026 17:31:48 RAM 5836/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [2%@1510,1%@1510,2%@1510,1%@1510,0%@729,56%@729] GR3D_FREQ 72% cpu@58.062C soc2@57.656C soc0@56.5C gpu@58.656C tj@58.656C soc1@57.468C VDD_IN 9270mW/9147mW VDD_CPU_GPU_CV 3277mW/3199mW VDD_SOC 2060mW/2043mW
04-18-2026 17:31:48 RAM 5838/7620MB (lfb 7x4MB) SWAP 3695/3810MB (cached 36MB) CPU [1%@1510,7%@1510,3%@729,1%@729,1%@729,56%@729] GR3D_FREQ 94% cpu@58.406C soc2@57.531C soc0@56.468C gpu@58.781C tj@58.781C soc1@57.437C VDD_IN 9388mW/9151mW VDD_CPU_GPU_CV 3356mW/3202mW VDD_SOC 2096mW/2044mW
04-18-2026 17:31:49 RAM 5838/7620MB (lfb 7x4MB) SWAP 3695/3810MB (cached 36MB) CPU [0%@1510,0%@1510,0%@729,1%@729,0%@729,58%@729] GR3D_FREQ 91% cpu@58.125C soc2@57.656C soc0@56.562C gpu@58.375C tj@58.375C soc1@57.093C VDD_IN 9309mW/9154mW VDD_CPU_GPU_CV 3316mW/3204mW VDD_SOC 2060mW/2044mW
04-18-2026 17:31:49 RAM 5838/7620MB (lfb 7x4MB) SWAP 3695/3810MB (cached 36MB) CPU [1%@1510,0%@1510,0%@729,1%@729,1%@729,60%@729] GR3D_FREQ 79% cpu@58.062C soc2@57.718C soc0@56.468C gpu@58.406C tj@58.406C soc1@57.093C VDD_IN 9166mW/9154mW VDD_CPU_GPU_CV 3243mW/3204mW VDD_SOC 2060mW/2045mW
04-18-2026 17:31:50 RAM 5838/7620MB (lfb 7x4MB) SWAP 3695/3810MB (cached 36MB) CPU [3%@1510,0%@729,0%@729,0%@729,0%@729,59%@729] GR3D_FREQ 66% cpu@58.125C soc2@57.687C soc0@56.468C gpu@58.562C tj@58.562C soc1@57.156C VDD_IN 9166mW/9155mW VDD_CPU_GPU_CV 3203mW/3204mW VDD_SOC 2060mW/2045mW
04-18-2026 17:31:50 RAM 5838/7620MB (lfb 7x4MB) SWAP 3695/3810MB (cached 36MB) CPU [0%@1510,0%@729,0%@729,0%@729,0%@729,61%@729] GR3D_FREQ 58% cpu@58.5C soc2@57.656C soc0@56.437C gpu@58.687C tj@58.687C soc1@57.437C VDD_IN 9126mW/9154mW VDD_CPU_GPU_CV 3203mW/3204mW VDD_SOC 2060mW/2045mW
04-18-2026 17:31:51 RAM 5838/7620MB (lfb 7x4MB) SWAP 3695/3810MB (cached 36MB) CPU [2%@1510,1%@1510,3%@1510,1%@1510,0%@729,56%@729] GR3D_FREQ 98% cpu@58.218C soc2@57.687C soc0@56.5C gpu@58.375C tj@58.375C soc1@57.468C VDD_IN 9309mW/9157mW VDD_CPU_GPU_CV 3277mW/3206mW VDD_SOC 2060mW/2045mW
04-18-2026 17:31:51 RAM 5838/7620MB (lfb 7x4MB) SWAP 3695/3810MB (cached 36MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@729,56%@729] GR3D_FREQ 69% cpu@58.25C soc2@57.656C soc0@56.5C gpu@58.468C tj@58.468C soc1@57.312C VDD_IN 9388mW/9160mW VDD_CPU_GPU_CV 3316mW/3207mW VDD_SOC 2099mW/2046mW
04-18-2026 17:31:52 RAM 5838/7620MB (lfb 7x4MB) SWAP 3695/3810MB (cached 36MB) CPU [1%@1510,0%@1510,3%@1510,0%@1510,0%@729,58%@729] GR3D_FREQ 83% cpu@58.375C soc2@57.687C soc0@56.437C gpu@58.5C tj@58.5C soc1@57.281C VDD_IN 9349mW/9164mW VDD_CPU_GPU_CV 3277mW/3209mW VDD_SOC 2060mW/2046mW
04-18-2026 17:31:52 RAM 5839/7620MB (lfb 7x4MB) SWAP 3695/3810MB (cached 36MB) CPU [0%@1510,0%@1510,1%@729,0%@729,0%@729,60%@729] GR3D_FREQ 93% cpu@58.531C soc2@57.625C soc0@56.5C gpu@58.437C tj@58.531C soc1@57.343C VDD_IN 9205mW/9164mW VDD_CPU_GPU_CV 3203mW/3208mW VDD_SOC 2060mW/2047mW
04-18-2026 17:31:53 RAM 5838/7620MB (lfb 7x4MB) SWAP 3695/3810MB (cached 36MB) CPU [3%@1510,3%@1510,3%@729,1%@729,1%@729,60%@729] GR3D_FREQ 98% cpu@58.25C soc2@57.812C soc0@56.437C gpu@58.531C tj@58.531C soc1@57.375C VDD_IN 9166mW/9164mW VDD_CPU_GPU_CV 3203mW/3208mW VDD_SOC 2020mW/2046mW
04-18-2026 17:31:53 RAM 5838/7620MB (lfb 7x4MB) SWAP 3695/3810MB (cached 36MB) CPU [1%@1510,1%@729,0%@729,0%@729,1%@729,60%@729] GR3D_FREQ 98% cpu@58.343C soc2@57.75C soc0@56.5C gpu@58.531C tj@58.531C soc1@57.406C VDD_IN 9086mW/9163mW VDD_CPU_GPU_CV 3164mW/3208mW VDD_SOC 2020mW/2046mW
04-18-2026 17:31:54 RAM 5838/7620MB (lfb 7x4MB) SWAP 3695/3810MB (cached 36MB) CPU [3%@1510,0%@1510,1%@1510,2%@1510,0%@729,58%@729] GR3D_FREQ 96% cpu@58.25C soc2@57.781C soc0@56.5C gpu@58.937C tj@58.937C soc1@57.281C VDD_IN 9270mW/9165mW VDD_CPU_GPU_CV 3277mW/3209mW VDD_SOC 2060mW/2046mW
04-18-2026 17:31:54 RAM 5838/7620MB (lfb 7x4MB) SWAP 3695/3810MB (cached 36MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@729,54%@729] GR3D_FREQ 74% cpu@58.187C soc2@57.75C soc0@56.406C gpu@58.562C tj@58.562C soc1@57.25C VDD_IN 9349mW/9167mW VDD_CPU_GPU_CV 3356mW/3211mW VDD_SOC 2099mW/2047mW
04-18-2026 17:31:55 RAM 5838/7620MB (lfb 7x4MB) SWAP 3695/3810MB (cached 36MB) CPU [1%@1510,0%@1510,3%@1510,0%@1510,0%@729,57%@729] GR3D_FREQ 98% cpu@58.187C soc2@57.812C soc0@56.625C gpu@58.781C tj@58.781C soc1@57.218C VDD_IN 9309mW/9170mW VDD_CPU_GPU_CV 3316mW/3212mW VDD_SOC 2060mW/2047mW
