04-18-2026 13:11:13 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@1510,0%@1510,1%@883,72%@883] GR3D_FREQ 61% cpu@57.281C soc2@56.875C soc0@55.75C gpu@57.406C tj@57.406C soc1@56.5C VDD_IN 7814mW/7731mW VDD_CPU_GPU_CV 2503mW/2464mW VDD_SOC 1791mW/1779mW
04-18-2026 13:11:14 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,1%@729,0%@729,9%@806,68%@806] GR3D_FREQ 74% cpu@57.718C soc2@56.687C soc0@55.718C gpu@57.656C tj@57.718C soc1@56.781C VDD_IN 7961mW/7735mW VDD_CPU_GPU_CV 2618mW/2467mW VDD_SOC 1788mW/1779mW
04-18-2026 13:11:14 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,5%@1510,0%@1510,5%@1510,2%@729,71%@729] GR3D_FREQ 62% cpu@57.312C soc2@56.781C soc0@55.75C gpu@57.781C tj@57.781C soc1@56.781C VDD_IN 7881mW/7739mW VDD_CPU_GPU_CV 2583mW/2470mW VDD_SOC 1791mW/1779mW
04-18-2026 13:11:15 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,0%@1510,0%@1510,0%@1510,1%@883,70%@883] GR3D_FREQ 64% cpu@57.468C soc2@56.843C soc0@55.687C gpu@57.531C tj@57.531C soc1@56.562C VDD_IN 7802mW/7740mW VDD_CPU_GPU_CV 2543mW/2471mW VDD_SOC 1791mW/1779mW
04-18-2026 13:11:15 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@806,70%@806] GR3D_FREQ 74% cpu@57.625C soc2@56.843C soc0@55.625C gpu@57.875C tj@57.875C soc1@56.531C VDD_IN 7921mW/7743mW VDD_CPU_GPU_CV 2618mW/2474mW VDD_SOC 1791mW/1780mW
04-18-2026 13:11:16 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,3%@1510,0%@1510,1%@1510,2%@729,71%@883] GR3D_FREQ 65% cpu@57.281C soc2@56.906C soc0@55.656C gpu@57.218C tj@57.281C soc1@56.593C VDD_IN 7881mW/7746mW VDD_CPU_GPU_CV 2583mW/2476mW VDD_SOC 1791mW/1780mW
04-18-2026 13:11:16 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@883,70%@883] GR3D_FREQ 62% cpu@57.406C soc2@56.843C soc0@55.562C gpu@57.75C tj@57.75C soc1@56.5C VDD_IN 7842mW/7748mW VDD_CPU_GPU_CV 2543mW/2478mW VDD_SOC 1791mW/1780mW
04-18-2026 13:11:17 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,0%@1510,0%@1510,2%@883,70%@883] GR3D_FREQ 72% cpu@57.312C soc2@56.875C soc0@55.875C gpu@57.281C tj@57.312C soc1@56.562C VDD_IN 7842mW/7750mW VDD_CPU_GPU_CV 2583mW/2480mW VDD_SOC 1791mW/1780mW
04-18-2026 13:11:17 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,3%@1510,0%@1510,0%@883,70%@883] GR3D_FREQ 64% cpu@57.281C soc2@56.843C soc0@55.843C gpu@57.343C tj@57.343C soc1@56.5C VDD_IN 7921mW/7753mW VDD_CPU_GPU_CV 2618mW/2482mW VDD_SOC 1791mW/1780mW
04-18-2026 13:11:18 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,2%@1510,1%@1510,0%@1510,0%@883,70%@883] GR3D_FREQ 62% cpu@57.343C soc2@56.843C soc0@55.781C gpu@57.343C tj@57.343C soc1@56.468C VDD_IN 7842mW/7754mW VDD_CPU_GPU_CV 2543mW/2483mW VDD_SOC 1791mW/1781mW
