04-18-2026 15:05:05 RAM 5550/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [1%@1510,0%@1510,3%@729,0%@729,0%@729,63%@729] GR3D_FREQ 71% cpu@57.5C soc2@57.031C soc0@55.906C gpu@57.875C tj@57.875C soc1@56.656C VDD_IN 8280mW/8114mW VDD_CPU_GPU_CV 2777mW/2666mW VDD_SOC 1867mW/1857mW
04-18-2026 15:05:05 RAM 5550/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,0%@1510,0%@729,3%@729,1%@806,69%@806] GR3D_FREQ 61% cpu@57.437C soc2@57C soc0@55.968C gpu@57.531C tj@57.531C soc1@56.625C VDD_IN 8240mW/8117mW VDD_CPU_GPU_CV 2737mW/2668mW VDD_SOC 1867mW/1857mW
04-18-2026 15:05:06 RAM 5550/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,3%@806,68%@806] GR3D_FREQ 64% cpu@57.437C soc2@56.968C soc0@55.937C gpu@57.843C tj@57.843C soc1@56.656C VDD_IN 8160mW/8117mW VDD_CPU_GPU_CV 2698mW/2668mW VDD_SOC 1867mW/1857mW
04-18-2026 15:05:06 RAM 5550/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,0%@1506,0%@729,0%@729,1%@729,66%@729] GR3D_FREQ 71% cpu@57.437C soc2@57C soc0@55.937C gpu@57.531C tj@57.531C soc1@56.687C VDD_IN 8200mW/8119mW VDD_CPU_GPU_CV 2737mW/2669mW VDD_SOC 1867mW/1857mW
04-18-2026 15:05:07 RAM 5550/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [1%@1510,0%@1510,1%@729,1%@729,0%@729,67%@729] GR3D_FREQ 63% cpu@57.437C soc2@56.968C soc0@55.937C gpu@57.562C tj@57.562C soc1@56.562C VDD_IN 8306mW/8122mW VDD_CPU_GPU_CV 2817mW/2672mW VDD_SOC 1867mW/1857mW
04-18-2026 15:05:07 RAM 5550/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,3%@806,68%@806] GR3D_FREQ 63% cpu@57.593C soc2@57.062C soc0@55.937C gpu@57.718C tj@57.718C soc1@56.906C VDD_IN 8160mW/8122mW VDD_CPU_GPU_CV 2737mW/2673mW VDD_SOC 1867mW/1857mW
04-18-2026 15:05:08 RAM 5550/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,0%@729,65%@729] GR3D_FREQ 63% cpu@57.687C soc2@57.031C soc0@55.875C gpu@57.812C tj@57.812C soc1@56.875C VDD_IN 8200mW/8124mW VDD_CPU_GPU_CV 2737mW/2674mW VDD_SOC 1867mW/1858mW
04-18-2026 15:05:08 RAM 5550/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [3%@1510,0%@1510,0%@1510,1%@1510,0%@729,69%@729] GR3D_FREQ 65% cpu@57.781C soc2@57.062C soc0@55.906C gpu@58C tj@58C soc1@56.875C VDD_IN 8280mW/8126mW VDD_CPU_GPU_CV 2777mW/2675mW VDD_SOC 1867mW/1858mW
04-18-2026 15:05:09 RAM 5550/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@806,66%@806] GR3D_FREQ 60% cpu@57.5C soc2@57C soc0@55.937C gpu@57.781C tj@57.781C soc1@56.906C VDD_IN 8200mW/8127mW VDD_CPU_GPU_CV 2737mW/2676mW VDD_SOC 1867mW/1858mW
04-18-2026 15:05:10 RAM 5550/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,1%@1510,0%@1510,1%@1510,0%@729,66%@729] GR3D_FREQ 61% cpu@57.718C soc2@57.031C soc0@55.906C gpu@58C tj@58C soc1@56.843C VDD_IN 8160mW/8128mW VDD_CPU_GPU_CV 2698mW/2677mW VDD_SOC 1867mW/1858mW
04-18-2026 15:05:10 RAM 5550/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [9%@1510,1%@1510,3%@729,1%@729,1%@729,65%@729] GR3D_FREQ 70% cpu@57.781C soc2@57.031C soc0@55.937C gpu@57.562C tj@57.781C soc1@56.812C VDD_IN 8280mW/8130mW VDD_CPU_GPU_CV 2777mW/2678mW VDD_SOC 1867mW/1858mW
