04-18-2026 12:28:52 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@55.312C soc2@54.343C soc0@53.156C gpu@54.343C tj@55.312C soc1@54.312C VDD_IN 6680mW/6679mW VDD_CPU_GPU_CV 1873mW/1839mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:53 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@914,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 50% cpu@55.187C soc2@54.312C soc0@53.25C gpu@54.531C tj@55.187C soc1@54.281C VDD_IN 6680mW/6679mW VDD_CPU_GPU_CV 1834mW/1838mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:53 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,2%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 44% cpu@55.281C soc2@54.281C soc0@53.375C gpu@54.343C tj@55.281C soc1@54.343C VDD_IN 6680mW/6679mW VDD_CPU_GPU_CV 1834mW/1838mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:54 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 48% cpu@55.125C soc2@54.218C soc0@53.375C gpu@54.531C tj@55.125C soc1@54.343C VDD_IN 6680mW/6679mW VDD_CPU_GPU_CV 1834mW/1838mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:54 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 45% cpu@55.187C soc2@54.281C soc0@53.406C gpu@54.531C tj@55.187C soc1@54.156C VDD_IN 6720mW/6680mW VDD_CPU_GPU_CV 1834mW/1838mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:55 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@55.218C soc2@54.25C soc0@53.343C gpu@54.687C tj@55.218C soc1@54.218C VDD_IN 6680mW/6680mW VDD_CPU_GPU_CV 1834mW/1838mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:56 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,2%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 46% cpu@55.156C soc2@54.25C soc0@53.343C gpu@54.562C tj@55.156C soc1@54.187C VDD_IN 6680mW/6680mW VDD_CPU_GPU_CV 1834mW/1838mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:56 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 54% cpu@55.125C soc2@54.281C soc0@53.281C gpu@54.718C tj@55.125C soc1@54.25C VDD_IN 6680mW/6680mW VDD_CPU_GPU_CV 1834mW/1838mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:57 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 49% cpu@55.468C soc2@54.312C soc0@53.312C gpu@54.875C tj@55.468C soc1@54.312C VDD_IN 6680mW/6680mW VDD_CPU_GPU_CV 1873mW/1839mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:57 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@55.625C soc2@54.312C soc0@53.312C gpu@54.5C tj@55.625C soc1@54.562C VDD_IN 6720mW/6680mW VDD_CPU_GPU_CV 1873mW/1839mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:58 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,2%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 44% cpu@55.218C soc2@54.343C soc0@53.343C gpu@54.531C tj@55.218C soc1@54.562C VDD_IN 6680mW/6680mW VDD_CPU_GPU_CV 1834mW/1839mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:58 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 48% cpu@55.343C soc2@54.312C soc0@53.312C gpu@54.656C tj@55.343C soc1@54.562C VDD_IN 6680mW/6680mW VDD_CPU_GPU_CV 1873mW/1840mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:59 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,2%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@55.406C soc2@54.343C soc0@53.281C gpu@54.718C tj@55.406C soc1@54.531C VDD_IN 6680mW/6680mW VDD_CPU_GPU_CV 1873mW/1840mW VDD_SOC 1597mW/1597mW
