04-18-2026 12:35:33 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,3%@1510,0%@1510,0%@1190,73%@1190] GR3D_FREQ 55% cpu@54.937C soc2@54C soc0@53.125C gpu@54.343C tj@54.937C soc1@54.25C VDD_IN 6129mW/6096mW VDD_CPU_GPU_CV 1360mW/1346mW VDD_SOC 1600mW/1597mW
04-18-2026 12:35:34 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,0%@1190,74%@1190] GR3D_FREQ 56% cpu@55.062C soc2@54.187C soc0@53.125C gpu@54.125C tj@55.062C soc1@54.343C VDD_IN 6129mW/6096mW VDD_CPU_GPU_CV 1360mW/1346mW VDD_SOC 1600mW/1597mW
04-18-2026 12:35:34 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,0%@1510,3%@1510,0%@1190,74%@1190] GR3D_FREQ 64% cpu@54.875C soc2@54.125C soc0@53.343C gpu@54.312C tj@54.875C soc1@54.156C VDD_IN 6129mW/6097mW VDD_CPU_GPU_CV 1360mW/1346mW VDD_SOC 1600mW/1597mW
04-18-2026 12:35:35 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@1510,1%@1510,0%@1190,76%@1190] GR3D_FREQ 63% cpu@54.875C soc2@54.187C soc0@53.312C gpu@54.25C tj@54.875C soc1@54.093C VDD_IN 6129mW/6098mW VDD_CPU_GPU_CV 1360mW/1346mW VDD_SOC 1600mW/1597mW
04-18-2026 12:35:35 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1113,13%@1113,27%@1113,1%@1113,1%@729,35%@729] GR3D_FREQ 45% cpu@54.812C soc2@54.125C soc0@53.25C gpu@54.25C tj@54.812C soc1@54.156C VDD_IN 6089mW/6097mW VDD_CPU_GPU_CV 1360mW/1347mW VDD_SOC 1600mW/1597mW
04-18-2026 12:35:36 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,76%@1510,1%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 65% cpu@54.875C soc2@54.125C soc0@53.25C gpu@54.25C tj@54.875C soc1@54.093C VDD_IN 6129mW/6098mW VDD_CPU_GPU_CV 1360mW/1347mW VDD_SOC 1600mW/1597mW
04-18-2026 12:35:36 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [4%@1190,74%@1190,1%@1190,1%@1190,1%@729,0%@729] GR3D_FREQ 46% cpu@55.281C soc2@54.125C soc0@53.187C gpu@54.281C tj@55.281C soc1@54.343C VDD_IN 6129mW/6099mW VDD_CPU_GPU_CV 1360mW/1347mW VDD_SOC 1600mW/1597mW
04-18-2026 12:35:37 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,75%@1510,0%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 66% cpu@54.906C soc2@54.125C soc0@53.156C gpu@54.281C tj@54.906C soc1@54.343C VDD_IN 6089mW/6098mW VDD_CPU_GPU_CV 1360mW/1347mW VDD_SOC 1600mW/1597mW
04-18-2026 12:35:37 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,74%@1510,0%@1510,2%@1510,0%@729,0%@729] GR3D_FREQ 47% cpu@55.093C soc2@54.125C soc0@53.093C gpu@54.218C tj@55.093C soc1@54.218C VDD_IN 6089mW/6098mW VDD_CPU_GPU_CV 1360mW/1348mW VDD_SOC 1600mW/1597mW
04-18-2026 12:35:38 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,54%@1510,3%@1510,3%@1510,6%@1190,12%@1190] GR3D_FREQ 65% cpu@54.875C soc2@54.218C soc0@53.125C gpu@54.343C tj@54.875C soc1@54.25C VDD_IN 6089mW/6098mW VDD_CPU_GPU_CV 1360mW/1348mW VDD_SOC 1600mW/1597mW
04-18-2026 12:35:38 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,2%@1113,75%@1113] GR3D_FREQ 66% cpu@54.875C soc2@54.125C soc0@53.218C gpu@54.25C tj@54.875C soc1@54.125C VDD_IN 6129mW/6099mW VDD_CPU_GPU_CV 1360mW/1348mW VDD_SOC 1600mW/1597mW
