04-18-2026 12:37:45 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,3%@1510,0%@1510,0%@1510,0%@1190,73%@1190] GR3D_FREQ 52% cpu@54.875C soc2@54.031C soc0@53.062C gpu@54.406C tj@54.875C soc1@54.156C VDD_IN 6129mW/6100mW VDD_CPU_GPU_CV 1360mW/1348mW VDD_SOC 1600mW/1598mW
04-18-2026 12:37:46 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,1%@1510,1%@1510,0%@1190,76%@1190] GR3D_FREQ 64% cpu@54.937C soc2@54.062C soc0@53.062C gpu@54.281C tj@54.937C soc1@54.093C VDD_IN 6129mW/6100mW VDD_CPU_GPU_CV 1360mW/1349mW VDD_SOC 1600mW/1598mW
04-18-2026 12:37:46 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1190,74%@1190] GR3D_FREQ 55% cpu@54.75C soc2@54.125C soc0@53.093C gpu@54.437C tj@54.75C soc1@54.093C VDD_IN 6129mW/6101mW VDD_CPU_GPU_CV 1360mW/1349mW VDD_SOC 1600mW/1598mW
04-18-2026 12:37:47 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,1%@1510,1%@1510,2%@1113,75%@1113] GR3D_FREQ 55% cpu@54.75C soc2@54.031C soc0@53.218C gpu@54.312C tj@54.75C soc1@53.968C VDD_IN 6129mW/6102mW VDD_CPU_GPU_CV 1360mW/1349mW VDD_SOC 1600mW/1598mW
04-18-2026 12:37:47 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@975,0%@729,1%@1190,74%@1190] GR3D_FREQ 48% cpu@54.718C soc2@54.125C soc0@53.156C gpu@54.375C tj@54.718C soc1@54.031C VDD_IN 6089mW/6101mW VDD_CPU_GPU_CV 1360mW/1349mW VDD_SOC 1600mW/1598mW
04-18-2026 12:37:48 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,2%@729,0%@729,0%@1190,76%@1190] GR3D_FREQ 55% cpu@54.656C soc2@54.031C soc0@53.062C gpu@54.562C tj@54.656C soc1@54.031C VDD_IN 6089mW/6101mW VDD_CPU_GPU_CV 1360mW/1349mW VDD_SOC 1600mW/1598mW
04-18-2026 12:37:48 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,1%@1510,0%@1113,74%@1113] GR3D_FREQ 60% cpu@55.031C soc2@54.093C soc0@53.125C gpu@54.125C tj@55.031C soc1@53.968C VDD_IN 6089mW/6101mW VDD_CPU_GPU_CV 1360mW/1350mW VDD_SOC 1600mW/1598mW
04-18-2026 12:37:49 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,3%@1510,1%@1510,1%@1190,76%@1190] GR3D_FREQ 59% cpu@54.75C soc2@54.031C soc0@53.156C gpu@54.531C tj@54.75C soc1@54.25C VDD_IN 6089mW/6101mW VDD_CPU_GPU_CV 1360mW/1350mW VDD_SOC 1600mW/1598mW
04-18-2026 12:37:49 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,0%@1510,0%@1510,0%@1190,73%@1190] GR3D_FREQ 62% cpu@54.906C soc2@54C soc0@53.125C gpu@54.125C tj@54.843C soc1@54.125C VDD_IN 6129mW/6101mW VDD_CPU_GPU_CV 1360mW/1350mW VDD_SOC 1600mW/1598mW
04-18-2026 12:37:50 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,2%@1510,2%@1510,0%@1190,75%@1190] GR3D_FREQ 51% cpu@54.968C soc2@54.093C soc0@53.125C gpu@54.187C tj@54.968C soc1@54.062C VDD_IN 6129mW/6102mW VDD_CPU_GPU_CV 1360mW/1350mW VDD_SOC 1600mW/1598mW
