04-18-2026 13:06:38 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,2%@1510,1%@729,98%@1510,1%@1510] GR3D_FREQ 83% cpu@59.718C soc2@59.125C soc0@57.875C gpu@59.906C tj@59.906C soc1@58.718C VDD_IN 10046mW/9960mW VDD_CPU_GPU_CV 4060mW/4053mW VDD_SOC 2013mW/2028mW
04-18-2026 13:06:38 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@729,1%@729,0%@729,100%@1510,1%@1510] GR3D_FREQ 68% cpu@60.062C soc2@59.062C soc0@57.875C gpu@60.031C tj@60.062C soc1@58.687C VDD_IN 10006mW/9961mW VDD_CPU_GPU_CV 4100mW/4054mW VDD_SOC 2013mW/2028mW
04-18-2026 13:06:39 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@729,1%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 68% cpu@59.687C soc2@59.125C soc0@57.875C gpu@60.281C tj@60.281C soc1@58.75C VDD_IN 10046mW/9963mW VDD_CPU_GPU_CV 4100mW/4055mW VDD_SOC 2013mW/2028mW
04-18-2026 13:06:39 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@729,3%@729,98%@1510,0%@1510] GR3D_FREQ 88% cpu@59.906C soc2@59.093C soc0@57.812C gpu@59.843C tj@59.843C soc1@58.656C VDD_IN 10006mW/9964mW VDD_CPU_GPU_CV 4139mW/4056mW VDD_SOC 2053mW/2028mW
04-18-2026 13:06:40 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,1%@729,1%@729,100%@1510,0%@1510] GR3D_FREQ 68% cpu@59.968C soc2@59.125C soc0@57.875C gpu@59.937C tj@59.968C soc1@58.656C VDD_IN 10085mW/9966mW VDD_CPU_GPU_CV 4172mW/4059mW VDD_SOC 2053mW/2029mW
04-18-2026 13:06:40 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,2%@729,100%@1510,0%@1510] GR3D_FREQ 70% cpu@60.031C soc2@59.125C soc0@57.812C gpu@60.062C tj@60.062C soc1@58.656C VDD_IN 10125mW/9969mW VDD_CPU_GPU_CV 4211mW/4062mW VDD_SOC 2053mW/2029mW
04-18-2026 13:06:41 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,3%@729,98%@1510,0%@1510] GR3D_FREQ 72% cpu@59.875C soc2@59.125C soc0@57.843C gpu@59.937C tj@59.937C soc1@58.625C VDD_IN 10006mW/9970mW VDD_CPU_GPU_CV 4172mW/4064mW VDD_SOC 2053mW/2029mW
04-18-2026 13:06:41 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,0%@729,1%@729,100%@1510,0%@1510] GR3D_FREQ 89% cpu@60C soc2@59.218C soc0@57.812C gpu@59.968C tj@60C soc1@58.531C VDD_IN 10046mW/9972mW VDD_CPU_GPU_CV 4100mW/4064mW VDD_SOC 2013mW/2029mW
04-18-2026 13:06:42 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,2%@1510,98%@1510,1%@1510] GR3D_FREQ 63% cpu@59.781C soc2@59.218C soc0@58C gpu@60.125C tj@60.125C soc1@58.562C VDD_IN 10006mW/9972mW VDD_CPU_GPU_CV 4060mW/4064mW VDD_SOC 2013mW/2029mW
04-18-2026 13:06:42 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 77% cpu@59.781C soc2@59.25C soc0@57.968C gpu@60.25C tj@60.25C soc1@58.5C VDD_IN 9967mW/9972mW VDD_CPU_GPU_CV 4060mW/4064mW VDD_SOC 2013mW/2029mW
