04-18-2026 13:03:23 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,1%@729,1%@729,1%@1510,98%@1510] GR3D_FREQ 78% cpu@57.218C soc2@56.562C soc0@55.125C gpu@57.531C tj@57.531C soc1@56C VDD_IN 9888mW/9945mW VDD_CPU_GPU_CV 4093mW/4074mW VDD_SOC 2017mW/2014mW
04-18-2026 13:03:24 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 76% cpu@57.406C soc2@56.593C soc0@55.156C gpu@57.75C tj@57.75C soc1@56.031C VDD_IN 9927mW/9945mW VDD_CPU_GPU_CV 4100mW/4075mW VDD_SOC 2017mW/2014mW
04-18-2026 13:03:24 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 69% cpu@57.156C soc2@56.562C soc0@55.187C gpu@57.406C tj@57.406C soc1@56C VDD_IN 10046mW/9947mW VDD_CPU_GPU_CV 4100mW/4076mW VDD_SOC 2013mW/2014mW
04-18-2026 13:03:25 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@729,3%@729,0%@729,0%@1510,98%@1510] GR3D_FREQ 73% cpu@57.25C soc2@56.75C soc0@55.218C gpu@57.531C tj@57.531C soc1@56.031C VDD_IN 10085mW/9949mW VDD_CPU_GPU_CV 4178mW/4078mW VDD_SOC 2053mW/2015mW
04-18-2026 13:03:25 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,1%@1510,100%@1510] GR3D_FREQ 81% cpu@57.25C soc2@56.625C soc0@55.437C gpu@57.593C tj@57.593C soc1@56.062C VDD_IN 10125mW/9953mW VDD_CPU_GPU_CV 4139mW/4079mW VDD_SOC 2013mW/2015mW
04-18-2026 13:03:26 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,0%@729,1%@1510,98%@1510] GR3D_FREQ 74% cpu@57.25C soc2@56.625C soc0@55.375C gpu@57.687C tj@57.687C soc1@56.062C VDD_IN 10006mW/9954mW VDD_CPU_GPU_CV 4100mW/4079mW VDD_SOC 2013mW/2015mW
04-18-2026 13:03:26 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,2%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 89% cpu@57.312C soc2@56.656C soc0@55.375C gpu@57.906C tj@57.906C soc1@56.031C VDD_IN 9967mW/9954mW VDD_CPU_GPU_CV 4060mW/4079mW VDD_SOC 2013mW/2015mW
04-18-2026 13:03:27 RAM 4422/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,0%@1510,37%@1510,0%@1510,100%@1510] GR3D_FREQ 73% cpu@57.312C soc2@56.656C soc0@55.406C gpu@57.75C tj@57.5C soc1@56.125C VDD_IN 10085mW/9957mW VDD_CPU_GPU_CV 4139mW/4080mW VDD_SOC 2053mW/2015mW
04-18-2026 13:03:27 RAM 4422/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,0%@729,0%@1510,98%@1510] GR3D_FREQ 90% cpu@57.25C soc2@56.562C soc0@55.531C gpu@57.968C tj@57.968C soc1@56.156C VDD_IN 9967mW/9957mW VDD_CPU_GPU_CV 4100mW/4080mW VDD_SOC 2017mW/2015mW
04-18-2026 13:03:28 RAM 4422/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 61% cpu@57.625C soc2@56.75C soc0@55.468C gpu@57.531C tj@57.625C soc1@56.125C VDD_IN 9967mW/9957mW VDD_CPU_GPU_CV 4021mW/4079mW VDD_SOC 2013mW/2015mW
