04-18-2026 18:06:18 RAM 5388/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [1%@1510,0%@1510,3%@1510,0%@1510,1%@960,71%@883] GR3D_FREQ 52% cpu@54.875C soc2@54.093C soc0@53.093C gpu@54.312C tj@54.875C soc1@54C VDD_IN 5969mW/5961mW VDD_CPU_GPU_CV 1280mW/1276mW VDD_SOC 1562mW/1560mW
04-18-2026 18:06:19 RAM 5388/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,2%@883,72%@883] GR3D_FREQ 65% cpu@54.718C soc2@53.968C soc0@53.25C gpu@54.25C tj@54.718C soc1@54.062C VDD_IN 5969mW/5961mW VDD_CPU_GPU_CV 1280mW/1277mW VDD_SOC 1562mW/1560mW
04-18-2026 18:06:19 RAM 5388/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [1%@1510,1%@1510,1%@1510,0%@1510,0%@960,72%@960] GR3D_FREQ 70% cpu@54.718C soc2@54C soc0@53.125C gpu@54.406C tj@54.718C soc1@54C VDD_IN 5969mW/5961mW VDD_CPU_GPU_CV 1280mW/1277mW VDD_SOC 1562mW/1560mW
04-18-2026 18:06:20 RAM 5388/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [0%@1510,0%@1510,1%@1510,3%@1510,2%@883,71%@883] GR3D_FREQ 74% cpu@54.75C soc2@54.031C soc0@53.125C gpu@54.25C tj@54.687C soc1@54C VDD_IN 5969mW/5962mW VDD_CPU_GPU_CV 1280mW/1277mW VDD_SOC 1562mW/1560mW
04-18-2026 18:06:20 RAM 5388/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [3%@1510,0%@1510,0%@1510,0%@1510,2%@960,73%@960] GR3D_FREQ 63% cpu@54.656C soc2@54.062C soc0@53.093C gpu@54.343C tj@54.656C soc1@54.281C VDD_IN 5969mW/5962mW VDD_CPU_GPU_CV 1280mW/1277mW VDD_SOC 1562mW/1560mW
04-18-2026 18:06:21 RAM 5388/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [3%@1510,1%@1510,1%@1510,0%@1510,0%@883,71%@883] GR3D_FREQ 55% cpu@54.937C soc2@54C soc0@53.156C gpu@54.625C tj@54.937C soc1@54.25C VDD_IN 5969mW/5962mW VDD_CPU_GPU_CV 1280mW/1277mW VDD_SOC 1562mW/1560mW
04-18-2026 18:06:21 RAM 5388/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [1%@1510,0%@1510,1%@729,0%@729,0%@883,71%@883] GR3D_FREQ 74% cpu@55.125C soc2@53.968C soc0@53.093C gpu@54.125C tj@55.125C soc1@54.187C VDD_IN 6009mW/5963mW VDD_CPU_GPU_CV 1320mW/1277mW VDD_SOC 1562mW/1560mW
04-18-2026 18:06:22 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [1%@1510,1%@1510,1%@1510,1%@1510,16%@960,60%@960] GR3D_FREQ 65% cpu@54.843C soc2@53.937C soc0@53.093C gpu@54.468C tj@54.843C soc1@54.125C VDD_IN 5969mW/5963mW VDD_CPU_GPU_CV 1280mW/1277mW VDD_SOC 1562mW/1560mW
04-18-2026 18:06:22 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@960,71%@960] GR3D_FREQ 63% cpu@54.906C soc2@54.093C soc0@53.093C gpu@54.093C tj@54.906C soc1@54.156C VDD_IN 5969mW/5963mW VDD_CPU_GPU_CV 1280mW/1278mW VDD_SOC 1562mW/1560mW
04-18-2026 18:06:23 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [3%@1510,1%@1510,3%@1510,0%@1510,2%@960,70%@960] GR3D_FREQ 73% cpu@54.75C soc2@54.125C soc0@53.156C gpu@54.468C tj@54.75C soc1@54.062C VDD_IN 5969mW/5963mW VDD_CPU_GPU_CV 1280mW/1278mW VDD_SOC 1562mW/1560mW
