04-18-2026 14:53:37 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,5%@1510,1%@1510,1%@1510,1%@729,1%@729] GR3D_FREQ 73% cpu@60.687C soc2@60.156C soc0@58.812C gpu@60.843C tj@60.843C soc1@59.593C VDD_IN 10424mW/10397mW VDD_CPU_GPU_CV 4290mW/4231mW VDD_SOC 2128mW/2134mW
04-18-2026 14:53:37 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,1%@1510,0%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 75% cpu@61C soc2@60.218C soc0@58.75C gpu@61.187C tj@61.187C soc1@59.5C VDD_IN 10424mW/10398mW VDD_CPU_GPU_CV 4250mW/4232mW VDD_SOC 2128mW/2134mW
04-18-2026 14:53:38 RAM 5397/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,0%@1510,1%@1510,1%@1510,2%@729,0%@729] GR3D_FREQ 65% cpu@60.656C soc2@60.218C soc0@58.656C gpu@60.906C tj@60.906C soc1@59.5C VDD_IN 10424mW/10398mW VDD_CPU_GPU_CV 4211mW/4231mW VDD_SOC 2128mW/2134mW
04-18-2026 14:53:38 RAM 5397/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [1%@1510,0%@1510,0%@729,0%@729,98%@1510,0%@1510] GR3D_FREQ 71% cpu@60.781C soc2@60.218C soc0@58.625C gpu@61.093C tj@61.093C soc1@59.437C VDD_IN 10424mW/10399mW VDD_CPU_GPU_CV 4250mW/4232mW VDD_SOC 2128mW/2134mW
04-18-2026 14:53:39 RAM 5397/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@729,5%@729,98%@1510,0%@1510] GR3D_FREQ 69% cpu@60.593C soc2@60.156C soc0@58.687C gpu@60.812C tj@60.812C soc1@59.375C VDD_IN 10503mW/10401mW VDD_CPU_GPU_CV 4283mW/4233mW VDD_SOC 2168mW/2135mW
04-18-2026 14:53:39 RAM 5397/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [0%@1510,1%@1510,1%@729,0%@729,98%@1510,0%@1510] GR3D_FREQ 71% cpu@60.687C soc2@60.093C soc0@58.718C gpu@60.906C tj@60.906C soc1@59.406C VDD_IN 10543mW/10403mW VDD_CPU_GPU_CV 4322mW/4234mW VDD_SOC 2168mW/2135mW
04-18-2026 14:53:40 RAM 5395/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [0%@1510,3%@1510,0%@729,1%@729,68%@1510,30%@1510] GR3D_FREQ 82% cpu@60.687C soc2@60.156C soc0@58.937C gpu@60.937C tj@60.937C soc1@59.406C VDD_IN 10622mW/10407mW VDD_CPU_GPU_CV 4322mW/4236mW VDD_SOC 2168mW/2136mW
04-18-2026 14:53:40 RAM 5395/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [0%@1510,1%@1510,1%@729,3%@729,0%@1510,98%@1510] GR3D_FREQ 84% cpu@60.718C soc2@60.093C soc0@58.937C gpu@61.062C tj@61.062C soc1@59.343C VDD_IN 10582mW/10410mW VDD_CPU_GPU_CV 4361mW/4238mW VDD_SOC 2168mW/2136mW
04-18-2026 14:53:41 RAM 5395/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [0%@1510,2%@1510,0%@1510,1%@1510,0%@1510,98%@1510] GR3D_FREQ 72% cpu@60.687C soc2@60.156C soc0@58.781C gpu@60.906C tj@61.281C soc1@59.406C VDD_IN 10503mW/10411mW VDD_CPU_GPU_CV 4329mW/4239mW VDD_SOC 2128mW/2136mW
04-18-2026 14:53:41 RAM 5395/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [1%@1510,1%@1510,1%@1510,1%@1510,0%@1510,98%@1510] GR3D_FREQ 66% cpu@60.562C soc2@60.093C soc0@58.875C gpu@61.062C tj@61.062C soc1@59.343C VDD_IN 10464mW/10412mW VDD_CPU_GPU_CV 4250mW/4239mW VDD_SOC 2128mW/2136mW
04-18-2026 14:53:42 RAM 5395/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [5%@1510,3%@918,0%@729,2%@729,0%@1510,98%@1510] GR3D_FREQ 71% cpu@60.687C soc2@60.125C soc0@58.781C gpu@61.093C tj@61.093C soc1@59.406C VDD_IN 10424mW/10412mW VDD_CPU_GPU_CV 4250mW/4240mW VDD_SOC 2128mW/2136mW
04-18-2026 14:53:42 RAM 5395/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [1%@1510,1%@1510,1%@729,0%@729,0%@1510,98%@1510] GR3D_FREQ 72% cpu@60.593C soc2@60.125C soc0@58.781C gpu@60.843C tj@60.843C soc1@59.312C VDD_IN 10385mW/10412mW VDD_CPU_GPU_CV 4250mW/4240mW VDD_SOC 2128mW/2136mW
04-18-2026 14:53:43 RAM 5395/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [1%@1510,3%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 63% cpu@60.937C soc2@60.062C soc0@58.781C gpu@60.906C tj@60.906C soc1@59.375C VDD_IN 10464mW/10412mW VDD_CPU_GPU_CV 4290mW/4240mW VDD_SOC 2128mW/2135mW
04-18-2026 14:53:43 RAM 5395/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [1%@1510,0%@1510,1%@729,1%@729,0%@1510,98%@1510] GR3D_FREQ 83% cpu@60.656C soc2@60.093C soc0@58.781C gpu@61.031C tj@61.031C soc1@59.312C VDD_IN 10503mW/10414mW VDD_CPU_GPU_CV 4322mW/4242mW VDD_SOC 2128mW/2135mW
