04-18-2026 12:23:12 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@729,0%@729,2%@883,74%@883] GR3D_FREQ 63% cpu@55.343C soc2@54.437C soc0@53.531C gpu@54.812C tj@55.343C soc1@54.531C VDD_IN 6169mW/6157mW VDD_CPU_GPU_CV 1400mW/1395mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:12 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@1510,1%@1510,22%@883,52%@883] GR3D_FREQ 63% cpu@55.468C soc2@54.375C soc0@53.5C gpu@54.5C tj@55.468C soc1@54.562C VDD_IN 6169mW/6158mW VDD_CPU_GPU_CV 1400mW/1395mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:13 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,5%@1510,2%@1510,0%@1510,0%@883,75%@883] GR3D_FREQ 62% cpu@55.25C soc2@54.5C soc0@53.5C gpu@54.593C tj@55.25C soc1@54.5C VDD_IN 6169mW/6158mW VDD_CPU_GPU_CV 1400mW/1395mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:13 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,0%@729,2%@729,0%@883,72%@883] GR3D_FREQ 65% cpu@55.25C soc2@54.562C soc0@53.5C gpu@54.625C tj@55.25C soc1@54.468C VDD_IN 6169mW/6158mW VDD_CPU_GPU_CV 1397mW/1396mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:14 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,5%@1510,0%@1510,0%@883,75%@883] GR3D_FREQ 62% cpu@55.125C soc2@54.468C soc0@53.562C gpu@54.625C tj@55.125C soc1@54.437C VDD_IN 6169mW/6158mW VDD_CPU_GPU_CV 1400mW/1396mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:14 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@729,3%@729,1%@883,75%@883] GR3D_FREQ 66% cpu@55.093C soc2@54.468C soc0@53.468C gpu@54.625C tj@55.093C soc1@54.437C VDD_IN 6169mW/6158mW VDD_CPU_GPU_CV 1400mW/1396mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:15 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,0%@883,72%@883] GR3D_FREQ 64% cpu@54.968C soc2@54.406C soc0@53.5C gpu@54.781C tj@54.968C soc1@54.312C VDD_IN 6169mW/6159mW VDD_CPU_GPU_CV 1400mW/1396mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:15 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,12%@883,64%@883] GR3D_FREQ 66% cpu@55C soc2@54.375C soc0@53.562C gpu@54.968C tj@55C soc1@54.468C VDD_IN 6169mW/6159mW VDD_CPU_GPU_CV 1360mW/1395mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:16 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,3%@1510,1%@1510,0%@883,73%@883] GR3D_FREQ 66% cpu@55.343C soc2@54.437C soc0@53.468C gpu@54.718C tj@55.343C soc1@54.406C VDD_IN 6169mW/6159mW VDD_CPU_GPU_CV 1400mW/1395mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:16 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,3%@1510,0%@883,74%@883] GR3D_FREQ 62% cpu@55.5C soc2@54.375C soc0@53.5C gpu@54.906C tj@55.5C soc1@54.656C VDD_IN 6169mW/6159mW VDD_CPU_GPU_CV 1400mW/1395mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:17 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,0%@1510,0%@1510,0%@883,73%@883] GR3D_FREQ 62% cpu@55.093C soc2@54.375C soc0@53.468C gpu@54.593C tj@55.093C soc1@54.562C VDD_IN 6169mW/6159mW VDD_CPU_GPU_CV 1400mW/1395mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:17 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@729,0%@729,0%@883,75%@883] GR3D_FREQ 66% cpu@55.187C soc2@54.343C soc0@53.437C gpu@54.531C tj@55.187C soc1@54.562C VDD_IN 6169mW/6159mW VDD_CPU_GPU_CV 1400mW/1395mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:18 RAM 3870/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1236,1%@729,0%@729,1%@729,1%@883,74%@883] GR3D_FREQ 62% cpu@55.25C soc2@54.343C soc0@53.375C gpu@54.625C tj@55.25C soc1@54.468C VDD_IN 6129mW/6159mW VDD_CPU_GPU_CV 1400mW/1395mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:18 RAM 3870/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [13%@729,40%@729,0%@729,3%@729,2%@883,23%@883] GR3D_FREQ 62% cpu@55.031C soc2@54.406C soc0@53.375C gpu@54.593C tj@54.906C soc1@54.468C VDD_IN 6169mW/6159mW VDD_CPU_GPU_CV 1400mW/1396mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:19 RAM 3870/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,5%@1510,0%@1510,10%@883,64%@883] GR3D_FREQ 63% cpu@55.125C soc2@54.468C soc0@53.343C gpu@54.593C tj@55.125C soc1@54.437C VDD_IN 6169mW/6159mW VDD_CPU_GPU_CV 1400mW/1396mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:19 RAM 3870/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,1%@1510,0%@1510,0%@883,73%@883] GR3D_FREQ 63% cpu@55.062C soc2@54.375C soc0@53.593C gpu@54.531C tj@55.062C soc1@54.406C VDD_IN 6169mW/6159mW VDD_CPU_GPU_CV 1400mW/1396mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:20 RAM 3870/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@883,74%@883] GR3D_FREQ 61% cpu@55.031C soc2@54.437C soc0@53.531C gpu@54.593C tj@55.031C soc1@54.468C VDD_IN 6169mW/6159mW VDD_CPU_GPU_CV 1400mW/1396mW VDD_SOC 1600mW/1599mW
